Link;Titulo;Data da Postagem
https://www.palmeiras.com.br/noticias/venda-de-ingressos-para-jogo-contra-mirassol-na-arena-barueri-pelo-paulista/;Venda de ingressos para jogo contra Mirassol na Arena Barueri pelo Paulista;20/02/2024 18:40
https://www.palmeiras.com.br/noticias/destaque-do-novorizontino-e-fa-de-veiga-romulo-assina-por-cinco-anos-sonho-virando-realidade/;Destaque do Novorizontino e fã de Veiga, Rômulo assina por cinco anos: 'Sonho virando realidade';20/02/2024 10:29
https://www.palmeiras.com.br/noticias/alana-maldonado-e-prata-no-grand-prix-de-heidelberg-com-a-selecao-brasileira-de-judo/;Alana Maldonado é prata no Grand Prix de Heidelberg com a Seleção Brasileira de Judô;19/02/2024 15:06
https://www.palmeiras.com.br/noticias/palmeiras-empata-com-corinthians-na-arena-barueri-e-chega-a-14-jogos-de-invencibilidade/;Palmeiras empata com Corinthians na Arena Barueri e chega a 14 jogos de invencibilidade;18/02/2024 20:37
https://www.palmeiras.com.br/noticias/feminino-do-palmeiras-vence-red-bull-bragantino-no-primeiro-jogo-treino-da-pre-temporada/;Feminino do Palmeiras vence Red Bull Bragantino no primeiro jogo-treino da pré-temporada;17/02/2024 19:09
https://www.palmeiras.com.br/noticias/palmeiras-x-corinthians-informacoes-estatisticas-e-curiosidades-6/;Palmeiras x Corinthians: informações, estatísticas e curiosidades;17/02/2024 19:07
https://www.palmeiras.com.br/noticias/palmeiras-faz-atividades-taticas-em-vespera-de-derby-pelo-paulista/;Palmeiras faz atividades táticas em véspera de Derby pelo Paulista;17/02/2024 17:48
https://www.palmeiras.com.br/noticias/elenco-inicia-preparacao-ao-derby-e-endrick-comenta-retorno-ao-verdao/;Elenco inicia preparação ao Derby e Endrick comenta retorno ao Verdão;16/02/2024 12:51
https://www.palmeiras.com.br/noticias/com-gol-de-lopez-palmeiras-vence-sao-bernardo-e-alcanca-13-jogos-sem-derrota/;Com gol de López, Palmeiras vence São Bernardo e alcança 13 jogos sem derrota;15/02/2024 22:32
https://www.palmeiras.com.br/noticias/recuperada-de-lesao-alana-maldonado-disputa-primeiro-torneio-do-ano-com-a-selecao-brasileira/;Recuperada de lesão, Alana Maldonado disputa primeiro torneio do ano com a Seleção Brasileira ;15/02/2024 16:24
https://www.palmeiras.com.br/noticias/sao-bernardo-x-palmeiras-informacoes-estatisticas-e-curiosidades-2/;São Bernardo x Palmeiras: informações, estatísticas e curiosidades;14/02/2024 19:25
https://www.palmeiras.com.br/noticias/lopez-comenta-bom-inicio-de-ano-e-mudanca-para-o-numero-42-fico-confiante/;López comenta bom início de ano e mudança para o número 42: ‘Fico confiante’;14/02/2024 19:16
https://www.palmeiras.com.br/noticias/endrick-volta-aos-treinos-e-caio-paulista-comemora-primeira-assistencia-pelo-verdao/;Endrick volta aos treinos e Caio Paulista comemora primeira assistência pelo Verdão;13/02/2024 14:25
https://www.palmeiras.com.br/noticias/palmeiras-supera-gigantes-europeus-e-vence-eleicao-de-camisa-mais-bonita-do-mundo/;Palmeiras supera gigantes europeus e vence eleição de camisa mais bonita do mundo;13/02/2024 12:18
https://www.palmeiras.com.br/noticias/invicto-ha-12-partidas-palmeiras-empata-com-santo-andre-fora-de-casa-pelo-paulista/;Invicto há 12 partidas, Palmeiras empata com Santo André fora de casa pelo Paulista;12/02/2024 21:28
https://www.palmeiras.com.br/noticias/venda-de-ingressos-para-classico-contra-corinthians-na-arena-barueri-pelo-paulista/;Venda de ingressos para clássico contra Corinthians na Arena Barueri pelo Paulista;11/02/2024 20:43